siteID,tagID,speciesID,E,N,tmass,tarea,mass_per_area,d15N,d13C,N_pct,C_pct,dbh,H,crownShape
SJER,SJER2796-F099,PISA2,256018,4111539.5,0.5341,38.00306093,0.0141,-2.4,-26.9,2.1,45.4,35.7,8.6,NA
SJER,SJER2796-F100,PISA2,256018.8,4111548.5,0.4782,38.00306093,0.0126,-1.7,-27.4,1.7,45.2,25.8,9.4,NA
SJER,SJER2796-F096,CELE2,256035.3,4111530.5,0.2907,17.10741,0.017,-1,-25.7,1.6,48.2,17.3,3.8,Cone
SJER,SJER2796-F097,CELE2,256026.8,4111524.2,0.243,18.97169,0.0128,-1,-26.7,1.3,47.7,30.1,4.4,Sphere
SJER,SJER2796-F098,CELE2,256019.7,4111534.5,0.2207,15.94528,0.0138,-1.2,-26.9,1.5,47.8,20.8,2.8,Hemisphere
SJER,SJER2796-F093,ARVI4,256052,4111530,1.0522,31.66921744,0.0332,-4.1,-27.6,0.7,49.9,18.6,3.8,Hemisphere
SJER,SJER2796-F095,ARVI4,256047.7,4111548.5,1.2142,35.46952354,0.0342,-1.2,-27.7,0.6,48.4,NA,3.3,Hemisphere
SJER,SJER1068-F077,CECU,255859.4,4111572.8,0.2084,8.43875,0.0247,-1.4,-26.1,1.6,47.9,NA,3.1,Hemisphere
SJER,SJER1068-F078,CECU,255862,4111575.2,0.2324,8.26648,0.0281,-0.8,-25.2,1.3,48.4,9.3,2.1,Cone
SJER,SJER1068-F079,CECU,255858,4111579.8,0.2066,7.81332,0.0264,-1.4,-25.8,1.3,47.7,NA,2.9,Sphere
SJER,SJER1068-F082,PISA2,255866.2,4111552.5,0.7915,27.51271,0.0288,-1.8,-24.4,1.5,48.8,25.4,8.6,NA
SJER,SJER1068-F083,PISA2,255844.4,4111582,0.6973,21.72322,0.0321,-1.9,-25.3,1.7,49.7,63.7,19.3,NA
SJER,SJER1068-F074,CELE2,255858.1,4111567.8,0.3431,25.33537395,0.0135,-1.2,-26.6,1.5,47.2,NA,2.5,Hemisphere
SJER,SJER1068-F075,CELE2,255848.4,4111561,0.3683,25.33537395,0.0145,-1.3,-27.6,1.4,47.6,18.7,2.7,Hemisphere
SJER,SJER1068-F076,CELE2,255848.6,4111577,0.3005,20.26829916,0.0148,-1,-25.3,1.5,47.9,NA,4,Hemisphere
SJER,SJER1068-F080,RHIL,255836.5,4111572,0.4356,24.06860526,0.0181,-0.3,-26.5,1.7,46.1,NA,2.8,Hemisphere
SJER,SJER1068-F081,RHIL,255842.6,4111567.5,0.3072,19.00153047,0.0162,-1.2,-28.8,1.2,45.8,19.1,2.8,Cone
SJER,SJER1068-F084,RHIL,255847.2,4111565.5,0.4687,31.66921744,0.0148,-1.2,-28.9,1.4,45.5,NA,3.4,Cone
SJER,SJER952-F069,LUAL4,255869.7,4110751,0.0655,3.25756,0.0201,-0.1,-28.8,2.4,34.9,10.9,2.2,Cone
SJER,SJER952-F071,LUAL4,255876.9,4110758.5,0.0629,4.02025,0.0156,1.6,-27.5,2.2,34.4,17.4,2,Cone
SJER,SJER952-F072,LUAL4,255879.5,4110763.5,0.0789,4.28413,0.0184,0.4,-28,2.2,34.1,13,1.6,Cone
SJER,SJER952-F072,LUAL4,255872.6,4110756.5,0.0789,4.28413,0.0184,0.4,-28,2.2,34.1,6,1.4,Hemisphere
SJER,SJER952-F073,LUAL4,255869.3,4110763.2,0.0781,4.0652,0.0192,0.9,-29.6,2.2,45.7,7,1.3,Cone
SJER,SJER916-F001,CELE2,257466.8,4109614.2,0.2198,9.98455,0.022,-2.3,-26.4,1.3,45.5,NA,2.8,Hemisphere
SJER,SJER916-F002,CELE2,257466.8,4109624.2,0.3229,12.49795,0.0258,-1.5,-27.4,1.4,45.7,3.4,1,Cone
SJER,SJER916-F004,CELE2,257458.1,4109605.8,0.1489,5.2193,0.0285,-2.2,-27.5,1.1,45.5,NA,1.5,Sphere
SJER,SJER916-F005,CELE2,257455.3,4109618.2,0.2108,8.42574,0.025,-2.1,-28.1,1.1,45.1,6.2,1.2,Cone
SJER,SJER824-F047,CELE2,256182.9,4110056,0.2833,20.26829916,0.014,-1.7,-26.7,1.6,45.7,NA,3.7,Sphere
SJER,SJER824-F043,QUWI2,256180,4110051,0.1872,12.58373,0.0149,-2.4,-24.6,1.7,45.6,3.6,1.2,NA
SJER,SJER824-F043,QUWI2,256180.5,4110051.8,0.1872,12.58373,0.0149,-2.4,-24.6,1.7,45.6,12.7,3.4,NA
SJER,SJER824-F044,QUWI2,256186.8,4110059.5,0.4833,27.86891135,0.0173,-2,-26.8,1.5,45.4,33.7,6.4,NA
SJER,SJER824-F045,QUWI2,256196.1,4110053,0.4645,25.33537395,0.0183,-3,-25.2,1.4,45.3,19.8,3.7,NA
SJER,SJER824-F046,QUWI2,256180.8,4110047,0.6727,38.00306093,0.0177,-2.7,-24.5,1.4,45.4,16.5,4.3,NA
SJER,SJER361-F019,CECU,256959.7,4107517.2,0.2196,9.0932,0.0241,-2.6,-26.5,1.3,46.2,NA,2.6,Sphere
SJER,SJER361-F021,CECU,256960.3,4107542.5,0.3471,12.66114,0.0274,-1.7,-26.8,1.4,45.2,24.7,3.3,Sphere
SJER,SJER361-F022,CECU,256948.5,4107522.2,0.3992,13.43561,0.0297,-2.6,-26,1.4,46.1,NA,2.9,Hemisphere
SJER,SJER361-F024,PISA2,256968.1,4107507.5,0.8456,25.40658,0.0333,-3.3,-25,1.4,46.8,20.7,11.8,NA
SJER,SJER272-F088,PISA2,256723.8,4112149.8,0.7063,26.06532,0.0271,0.2,-24.2,2,47.6,9.8,5.2,NA
SJER,SJER272-F089,PISA2,256734.5,4112184.5,0.6515,21.55593,0.0302,-2.3,-24.6,1.4,48.9,7,4.8,NA
SJER,SJER272-F090,QUWI2,256709.6,4112147.8,0.402,27.86891135,0.0144,-1.2,-27.9,1.3,47.2,75.1,11.8,NA
SJER,SJER272-F091,QUWI2,256713.7,4112176,0.6613,38.00306093,0.0174,-2.4,-26.4,1.4,46.8,59.3,11.6,NA
SJER,SJER272-F092,QUWI2,256702.3,4112157.5,0.635,38.00306093,0.0167,-3.1,-26.1,1.2,47.2,28.3,10.3,NA
SJER,SJER272-F085,ARVI4,256702,4112160.5,0.9329,26.60214265,0.0351,-2.2,-27.9,0.7,50.4,NA,2.7,Sphere
SJER,SJER272-F086,ARVI4,256719.8,4112169,0.7437,27.86891135,0.0267,-1.9,-28.6,0.9,50.2,NA,1.4,Hemisphere
SJER,SJER272-F087,ARVI4,256720.5,4112177.2,0.9859,38.00306093,0.0259,-3.7,-28.8,0.8,49.8,17.1,3,Sphere
SJER,SJER192-F014,QUWI2,256697.3,4111066.8,0.6111,38.00306093,0.0161,-4.2,-26.9,1.3,45.1,57.1,7.3,NA
SJER,SJER192-F015,QUWI2,256695.1,4111077,0.6053,34.20275484,0.0177,-2.8,-26,1.4,45.4,96.7,9.6,NA
SJER,SJER192-F016,QUWI2,256681.2,4111087.2,0.4676,25.33537395,0.0185,-2.6,-25.7,1.3,45.3,39.7,3.6,NA
SJER,SJER192-F016,QUWI2,256681.7,4111086.8,0.4676,25.33537395,0.0185,-2.6,-25.7,1.3,45.3,57.3,10.3,NA
SJER,SJER192-F016,QUWI2,256682.5,4111086.8,0.4676,25.33537395,0.0185,-2.6,-25.7,1.3,45.3,19.9,6.7,NA
SJER,SJER192-F017,QUWI2,256671.9,4111070.5,0.2545,13.93445568,0.0183,-3.4,-25.4,1.2,45.2,36,11.1,NA
SJER,SJER192-F018,QUWI2,256679.2,4111054.5,0.5458,27.86891135,0.0196,-4,-25.5,1.4,45,24.2,4.9,NA
SJER,SJER192-F018,QUWI2,256680.6,4111055.8,0.5458,27.86891135,0.0196,-4,-25.5,1.4,45,52.6,8.1,NA
SJER,SJER192-F018,QUWI2,256679.8,4111056,0.5458,27.86891135,0.0196,-4,-25.5,1.4,45,51.3,9.2,NA
